Attack Type,Action Taken,Severity Level,Protocol,Malware Indicators,Device Information,Localidad,Region
2,1,0,0,0,0,238,1
0,1,2,0,0,0,273,15
2,0,1,1,0,0,60,26
0,1,1,1,1,0,20,5
1,1,1,0,0,0,290,12
0,2,1,2,1,0,107,22
0,2,2,2,0,0,17,27
0,2,2,2,1,0,68,23
2,2,0,2,0,0,54,7
1,1,2,0,1,0,13,1
2,1,2,0,1,0,231,9
1,0,2,2,0,52,124,17
0,1,0,2,1,37,179,17
0,2,2,1,1,124,51,27
1,1,0,1,1,0,26,12
2,0,1,1,0,0,164,18
0,0,2,1,0,0,100,20
2,2,0,0,1,0,25,10
2,0,1,2,0,152,32,27
1,0,1,0,1,0,68,7
1,0,1,1,0,0,186,27
0,1,2,2,0,99,23,7
0,1,1,1,0,0,248,9
0,0,1,1,0,0,311,8
0,1,2,0,0,0,136,13
1,2,2,2,1,0,198,1
0,0,1,2,0,0,97,9
1,2,1,1,0,0,80,25
1,1,2,0,1,0,227,19
0,2,1,1,0,0,314,19
0,0,1,1,1,16,191,10
2,2,1,1,0,0,180,8
0,0,1,2,1,0,146,8
0,2,1,2,1,0,52,24
0,2,1,0,0,0,183,13
2,2,1,1,0,0,148,26
1,2,2,2,1,0,102,15
1,1,0,1,1,0,119,13
0,1,2,0,0,0,185,11
2,0,0,2,0,0,145,19
2,0,0,2,0,0,100,16
1,2,1,2,1,0,87,4
0,0,2,0,1,155,89,15
0,0,2,1,1,0,189,20
1,1,2,2,1,0,152,18
1,2,0,1,0,0,247,13
1,0,2,2,0,0,77,25
0,0,0,2,0,0,270,21
2,2,0,1,1,0,22,12
2,0,0,1,1,0,141,22
0,0,1,2,1,0,72,6
1,0,1,0,1,167,168,6
0,0,1,2,0,0,199,13
2,2,1,1,0,0,229,11
2,1,1,2,0,11,197,22
0,1,2,2,1,0,219,10
2,0,2,2,0,0,172,8
1,1,1,1,0,0,297,6
2,2,1,0,1,0,188,8
0,2,1,0,0,80,73,4
1,0,0,0,0,0,132,13
0,2,1,2,0,0,266,12
1,2,0,0,0,0,72,11
0,2,2,0,1,0,298,7
2,0,0,2,0,0,91,19
1,0,1,0,1,0,198,9
1,2,0,0,0,0,175,0
0,2,1,0,1,26,132,21
0,0,0,2,1,0,229,27
2,2,0,2,1,0,294,12
0,2,1,1,1,177,263,4
1,0,0,0,0,0,29,2
1,2,0,1,1,155,53,1
0,0,0,2,0,0,183,8
2,1,0,2,0,0,78,4
1,2,1,0,1,0,225,6
0,2,0,0,1,0,213,23
1,2,0,2,0,0,14,24
1,0,1,2,1,0,221,27
0,0,0,0,1,67,140,1
1,0,2,1,0,64,249,8
1,2,2,2,1,0,83,18
2,0,0,2,1,90,192,25
